,0
1960,29730972
1961,31715502
1962,29064315
1963,24602691
1964,31454774
1965,28206827
1966,17468449
1967,27633800
1968,23166786
1969,30696729
1970,18502611
1971,30854978
1972,21243937
1973,32480326
1974,22891033
1975,24742170
1976,21040581
1977,26986782
1978,27792005
1979,6819759
1980,1395937
1981,11585639
1982,20100627
1983,25619173
1984,22674961
1985,7996708
1986,27507559
1987,7510098
1988,30368080
1989,9761453
1990,25994655
1991,3217112
1992,7520919
1993,23732617
1994,26098690
1995,26153164
1996,28488184
1997,24161625
1998,17404521
1999,31704454
2000,24270187
2001,24195574
2002,1374422
2003,27988845
2004,30447891
2005,469555
2006,23868949
2007,29778042
2008,23994102
2009,24067280
2010,2728717
2011,10994018
2012,27237758
2013,22106296
2014,15972693
2015,31428926
2016,21991843
2017,12098510
2018,8990125
2019,11873611
2020,23401127
2021,23250822
2022,28615429
2023,31118079
2024,10449104
2025,21550672
2026,27456879
2027,26709893
2028,29478287
2029,10234515
2030,22327756
2031,26553080
2032,15465437
2033,1291898
2034,19359048
2035,16237972
2036,23827947
2037,7526383
2038,3266456
2039,10361253
2040,135905
2041,21623545
2042,11886356
2043,8356875
2044,32500977
2045,30040082
2046,28857632
2047,30470580
2048,22127897
2049,20855882
2050,25432947
2051,20673799
2052,15472186
2053,27206893
2054,9720853
2055,20827609
2056,15607211
2057,6267515
2058,20211254
2059,15261564
2060,15090474
2061,1859268
2062,10229114
2063,20837861
2064,30832289
2065,23497281
2066,15584495
2067,25973844
2068,29384421
2069,10416988
2070,22612741
2071,19839715
2072,17893651
2073,12814169
2074,14512166
2075,9191212
2076,91212
2077,24666846
2078,22393447
2079,28206829
2080,26769066
2081,32711297
2082,29331875
2083,19605531
2084,26562193
2085,3210041
2086,26067615
2087,22829266
2088,7964452
2089,10900347
2090,11213523
2091,7528355
2092,31525497
2093,32388451
2094,31063935
2095,23272061
2096,6699653
2097,32769063
2098,25392335
2099,21621332
2100,32585617
2101,28130201
2102,26887636
2103,27050759
2104,27057832
2105,20530512
2106,31403958
2107,23517928
2108,9762660
2109,24818159
2110,12220382
2111,5731886
2112,16625214
2113,32168157
2114,30663613
2115,28899788
2116,15735651
2117,25379419
2118,8156087
2119,17628700
2120,30113253
2121,26046356
2122,22978757
2123,29970109
2124,9624164
2125,31765999
2126,13592978
2127,19100623
2128,31578541
2129,27935560
2130,9396353
2131,23406874
2132,32474916
2133,21138391
2134,30576361
2135,8063528
2136,21962795
2137,31474168
2138,9878184
2139,30553909
2140,11170179
2141,9882319
2142,17531842
2143,31778926
