,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD,N/A
125,,,,P39210,,,,,,,P27695,Q9Y3E5,P22830,P25325,Q9HC21,P22033,,,,N/A
126,,,,P03928,,,,,,,P23434,Q13794,O60313,P48735,P16219,Q9P0J1,,,,N/A
127,,,,P03905,,,,,,,Q53FZ2,Q5T2R2,Q16881,Q9P0J6,O94903,P03886,,,,N/A
128,,,,P56381,,,,,,,Q9H4A6,P48728,Q08257,P30041,Q99714,P21912,,,,N/A
129,,,,Q9BUB7,,,,,,,Q96EY8,P55957,Q99798,P00505,P54819,Q9UDR5,,,,N/A
130,,,,O14561,,,,,,,Q96PN6,Q02318,Q15118,Q86YH6,Q14249,P55851,,,,N/A
131,,,,P40939,,,,,,,P30405,Q9UI32,Q8NE62,P53701,O14874,Q9UHK6,,,,N/A
132,,,,Q9BYT8,,,,,,,Q13794,P00505,Q14318,Q9HBH1,P07108,O75891,,,,N/A
133,,,,O00429,,,,,,,P55211,Q9UIF7,Q96AY3,Q07817,Q96PE7,P55789,,,,N/A
134,,,,Q16654,,,,,,,P27338,Q15388,Q9H3H1,P00367,O43272,Q13323,,,,N/A
135,,,,P23786,,,,,,,Q9UHK6,P24752,Q9NR77,Q9NRV9,P04181,P51648,,,,N/A
136,,,,P49748,,,,,,,Q07817,Q16548,Q13085,Q9Y3B8,Q13084,P28331,,,,N/A
137,,,,P43155,,,,,,,O43819,Q14249,Q9Y2D0,P22570,P28838,P30044,,,,N/A
138,,,,Q15120,,,,,,,Q14249,P21912,P35218,P40926,P06746,P33897,,,,N/A
139,,,,P50416,,,,,,,Q8WUD6,Q92506,Q15046,Q16134,Q9P0J6,O43772,,,,N/A
140,,,,Q8WUD6,,,,,,,P11498,P27695,Q9UL12,P38117,Q9BZ23,Q9BXM7,,,,N/A
141,,,,Q6IB77,,,,,,,P49675,Q96QU6,O95822,P41250,Q14197,O95847,,,,N/A
142,,,,O95139,,,,,,,P30041,P55851,P11182,Q13423,P33897,Q08AH1,,,,N/A
143,,,,Q14061,,,,,,,Q9UKG9,Q9UDR5,P49916,Q9UQ90,Q9H9B4,Q99798,,,,N/A
144,,,,Q9P0J6,,,,,,,P48735,O60220,P51648,P55789,Q9UMS0,Q9BZ23,,,,N/A
145,,,,Q96E11,,,,,,,Q96TA2,Q07817,P30049,O60220,P26440,P22830,,,,N/A
146,,,,Q9UGC7,,,,,,,P21397,Q9P0J6,O00408,Q99807,P51687,P14324,,,,N/A
147,,,,Q8IWA4,,,,,,,P31327,P25325,P36957,P48047,Q9Y3B8,Q16891,,,,N/A
148,,,,O95140,,,,,,,Q9Y2D0,Q9Y276,Q8IXI2,Q86WU2,Q16548,O43236,,,,N/A
149,,,,Q96C36,,,,,,,Q9HBH1,Q07820,Q9NR28,Q99798,P22830,P40926,,,,N/A
150,,,,P00480,,,,,,,P54098,P31040,Q16891,O95140,P00480,Q96RR1,,,,N/A
151,,,,P08574,,,,,,,P28838,P42704,P00505,Q9H7Z7,P05108,Q8N5Z0,,,,N/A
152,,,,Q14790,,,,,,,Q96HS1,P19404,Q92934,Q96EY8,Q99797,Q9UKG9,,,,N/A
153,,,,O14521,,,,,,,Q9NR28,Q969V5,Q9GZT8,P06746,Q9HCL2,P78540,,,,N/A
154,,,,Q99643,,,,,,,P00367,P22830,Q9NP81,P00480,Q8NFU3,Q9NVS9,,,,N/A
155,,,,P51687,,,,,,,P53396,Q8IXI2,Q99714,Q9NWT8,Q9NR28,Q16795,,,,N/A
156,,,,Q15070,,,,,,,Q9BXR0,Q12983,O43819,Q96PG8,P27695,P80404,,,,N/A
157,,,,Q02218,,,,,,,P28288,P22033,Q8WUD6,Q9HD23,Q3ZCQ8,Q16836,,,,N/A
158,,,,Q5T440,,,,,,,Q9NRV9,P25874,Q96QU6,P17152,P56381,O95721,,,,N/A
